Healthy life expectancy,GDP per capita,Score,Social support,Freedom to make life choices,Perceptions of corruption,Generosity
0.815,0.921,4.461,1.000,0.167,0.055,0.059
0.723,0.562,4.456,0.928,0.527,0.143,0.166
0.574,1.043,4.437,0.980,0.241,0.089,0.148
0.357,0.094,4.418,1.125,0.269,0.053,0.212
0.308,0.385,4.390,1.105,0.327,0.052,0.153
0.242,0.268,4.374,0.841,0.309,0.045,0.252
0.831,0.949,4.366,1.265,0.470,0.047,0.244
0.555,0.710,4.360,1.181,0.525,0.172,0.566
0.192,0.350,4.350,0.766,0.174,0.078,0.198
0.739,0.820,4.332,1.390,0.178,0.010,0.187
0.532,0.336,4.286,1.033,0.344,0.100,0.209
0.000,0.811,4.212,1.149,0.313,0.135,0.074
0.443,0.332,4.189,1.069,0.356,0.060,0.252
0.644,0.913,4.166,1.039,0.241,0.067,0.076
0.426,0.578,4.107,1.058,0.431,0.087,0.247
0.410,0.275,4.085,0.572,0.293,0.085,0.177
0.588,0.755,4.015,0.765,0.498,0.085,0.200
0.443,0.073,3.975,0.922,0.370,0.033,0.233
0.505,0.274,3.973,0.757,0.142,0.078,0.275
0.555,0.274,3.933,0.916,0.148,0.041,0.169
0.168,0.489,3.802,1.169,0.359,0.093,0.107
0.380,0.046,3.775,0.447,0.220,0.180,0.176
0.433,0.366,3.663,1.114,0.361,0.089,0.151
0.449,0.323,3.597,0.688,0.026,0.110,0.419
0.538,1.041,3.488,1.145,0.455,0.100,0.025
0.440,0.619,3.462,0.378,0.013,0.141,0.331
0.495,0.191,3.410,0.560,0.443,0.089,0.218
0.463,0.287,3.380,1.163,0.143,0.077,0.108
0.614,0.359,3.334,0.711,0.555,0.411,0.217
0.499,0.476,3.231,0.885,0.417,0.147,0.276
0.361,0.350,3.203,0.517,0.000,0.025,0.158
0.105,0.026,3.083,0.000,0.225,0.035,0.235
0.295,0.306,2.853,0.575,0.010,0.091,0.202











































































































































































































































































































































































































































































































































































































































































































































































































































































