Exited,Tenure,NumOfProducts,Age,EstimatedSalary
0,8,1,38,1299.75
0,9,1,34,25095.03
0,4,1,32,146326.45
0,4,2,26,38296.21
0,2,1,41,164061.6
0,9,2,43,107811.28
0,9,1,39,30838.51
1,5,1,57,9221.78
0,4,1,34,33738.27
1,8,3,43,110916.15
0,7,2,26,169654.57
0,9,1,72,69829.4
1,5,1,30,54926.51
0,10,1,37,94728.49
0,9,1,29,80393.27
0,4,2,53,111307.98
0,10,2,28,19834.32
0,5,2,35,78397.24
0,2,1,51,86410.28
0,10,1,30,172749.65
0,6,2,27,1002.39
0,2,1,64,13601.79
0,1,1,38,77866.91
0,8,1,26,175296.76
1,0,1,31,121751.04
0,6,2,39,89593.26
1,8,1,62,193437.89
0,7,1,42,86945
0,8,2,37,183318.79
0,9,1,35,71154.1
0,10,1,40,151887.16
0,5,2,53,75888.65
0,3,2,36,89566.74
0,2,1,48,26475.79
0,7,1,35,126355.8
0,1,1,29,93839.3
0,2,1,49,2117830
0,1,2,47,145593.85
0,3,1,28,45042.56
1,1,1,61,61108.56
1,6,1,54,57553.98
0,10,1,33,62674.42
0,3,2,44,12120.79
1,6,2,31,50129.87
0,5,2,51,55022.43
0,1,2,33,117834.91
0,1,1,48,168840.23
0,10,1,43,24234.11
0,4,1,36,190627.01
1,5,1,48,156618.38
0,5,1,29,42334.38
0,1,1,27,110784.42
1,5,1,39,173683
1,9,1,39,27046.46
1,8,1,34,20598.59
0,3,2,30,104991.28
0,7,1,38,8996.97
0,4,2,36,64420.5
0,6,2,38,145700.22
0,4,2,49,196335.48
0,7,1,52,14781.12
0,3,1,42,108139.23
1,4,1,48,19287.06
0,8,2,31,9567.39
0,8,1,25,132210.49
0,6,1,25,21600.11
0,1,2,54,199661.5
0,9,1,64,124341.49
0,6,2,30,15766.1
0,3,1,41,33642.21
0,8,1,57,117704.65
0,2,2,31,58803.28
0,4,2,46,137537.22
0,1,2,41,131300.68
0,9,2,33,84174.81
0,3,1,31,160941.78
0,3,2,29,143954.99
0,3,1,46,56297.85
0,5,1,42,8404.73
0,3,2,48,30020.09
0,9,2,42,58137.42
0,0,1,26,47472.68
0,6,2,32,19131.71
0,5,2,35,187288.5
0,5,2,39,17603.81
0,4,2,38,67020.03
1,7,1,45,147802.94
0,1,2,70,41610.62
0,3,2,38,44255.65
0,5,1,55,78416.14
0,5,1,58,137254.55
0,4,1,41,151303.48
0,8,2,40,86333.63
0,9,1,24,89801.9
1,2,1,42,29358.57
0,2,2,31,181600.72
1,5,1,45,124118.71
1,7,1,51,38867.46
0,5,1,36,31106.67
0,1,2,27,67611.36
0,1,2,43,77837.63
0,8,1,36,6078.46
0,6,2,34,177896.92
0,2,1,45,123882.73
0,6,2,57,15304.08
1,1,1,62,76569.64
1,1,2,57,120657.32
0,2,2,36,16436.56
0,0,1,33,107667.91
0,5,2,32,95611.47
0,7,1,30,19799.26
0,2,2,49,123214.74
0,1,2,36,71709.12
0,2,2,36,149066.14
1,5,3,40,20451.99
0,4,1,35,32825.5
0,4,2,42,6232.31
0,8,2,35,10357.03
0,3,2,34,147794.63
0,0,1,48,116973.48
0,6,1,35,129964.94
0,1,1,38,92816.86
0,3,1,41,172114.67
1,3,3,25,16649.31
0,9,2,34,144517.19
0,4,1,37,182038.6
0,5,2,42,24210.56
0,10,2,45,172175.9
0,5,1,43,47578.45
1,2,2,56,150694.42
1,6,2,42,177683.02
0,1,2,23,66088.83
0,2,1,38,169291.7
0,3,1,36,117140.41
0,10,2,42,79510.37
0,9,2,37,77108.66
0,7,3,25,9679.28
0,5,1,40,81753.92
1,1,1,57,131372.38
0,6,1,24,25310.82
0,10,2,25,187925.75
0,3,1,31,98820.39
1,9,2,43,64166.7
1,7,1,60,176924.21
0,6,1,47,90055.08
0,6,1,67,72814.31
0,2,1,36,168290.06
0,6,2,46,161767.38
0,8,2,28,44420.18
0,7,1,24,37147.61
0,8,1,24,125381.02
0,7,1,29,149853.89
1,2,3,49,161435.02
0,8,2,60,102925.76
0,5,2,40,70899.27
0,2,1,18,145936.28
0,5,1,46,54227.06
0,2,1,38,59280.79
0,4,2,46,126952.5
0,0,2,41,130567.02
0,9,1,47,73294.48
0,7,1,35,3937.37
0,2,2,37,2383.59
0,5,2,39,14279.44
0,9,2,31,141300.53
0,2,2,36,78140.75
0,2,2,28,117431.1
0,9,1,37,72008.61
0,5,1,58,60887.58
0,5,1,43,194764.83
1,5,1,35,88705.14
1,6,1,36,35817.97
0,1,1,21,31520.4
1,2,3,43,157908.19
0,2,1,27,142200.15
0,2,2,82,182055.36
1,9,2,60,157552.08
0,2,2,41,120284.67
1,1,1,63,24506.95
1,2,2,36,47271.61
0,4,1,31,41176.6
0,2,2,32,9468.64
0,3,1,36,123880.19
1,6,2,49,158887.09
0,7,1,33,117036.38
1,7,1,58,120415.61
1,9,1,28,16064.25
0,8,2,28,52615.62
0,8,1,35,121210.09
0,8,2,27,192247.35
0,1,2,28,68759.57
0,2,2,41,75937.47
0,8,2,35,84569.13
1,7,1,58,190696.35
0,5,1,36,67468.67
0,1,2,26,104435.94
0,2,1,42,47166.55
0,0,2,35,119899.52
0,8,1,48,173498.45
0,2,2,36,93249.26
0,3,2,49,142917.54
0,6,1,48,111755.8
0,1,1,34,108543.21
0,1,1,29,180345.44
0,8,2,36,99444.02
0,9,1,46,109563.28
0,3,1,32,92568.07
0,6,2,35,37976.36
0,9,1,42,103315.74
0,7,2,52,173952.5
0,0,2,44,34673.98
0,7,2,31,46163.44
0,9,2,29,140676.98
0,4,2,39,151738.54
1,9,1,46,14679.81
0,0,1,33,175544.02
0,5,2,69,181964.6
0,10,1,53,136886.86
0,6,1,37,122218.23
0,10,2,35,180439.75
0,7,2,65,190419.81
0,3,2,33,58685.59
1,8,3,28,89017.38
0,2,2,26,50051.42
0,5,2,25,146041.45
0,8,2,29,191166.09
1,2,1,42,103516.08
0,9,1,27,164825.04
0,6,2,43,172557.77
0,4,2,36,84320.94
0,5,1,36,122662.98
0,8,1,34,72085.1
1,9,1,69,110932.24
0,4,2,36,143635.36
0,8,2,33,3710.34
0,5,2,47,179843.33
0,1,2,56,10643.38
0,2,2,31,131167.98
0,10,2,39,10553.31
0,6,2,34,130928.22
0,5,1,41,157003.99
0,1,1,29,138527.56
0,3,2,37,167032.49
0,6,2,30,41642.29
0,2,2,34,9677
0,3,2,37,147012.22
0,5,1,56,80553.87
1,3,1,48,30730.95
0,4,1,36,140134.43
1,6,1,50,91936.1
0,1,1,31,178252.63
0,8,1,35,198674.08
1,5,1,41,28266.9
0,3,1,44,92381.01
0,7,1,49,135180.11
0,6,2,21,27330.59
0,5,2,42,125305.34
0,1,1,51,149648.45
0,0,1,25,59887.15
0,1,2,46,45041.32
1,1,2,48,113316.77
0,8,1,41,39087.42
0,6,2,43,7330.59
0,8,2,57,95463.29
0,4,2,32,167848.02
1,5,1,49,93953.84
0,7,2,39,174227.66
0,9,1,32,135399.21
1,1,2,64,195635.3
1,8,1,43,97508.04
1,2,1,32,188083.77
0,7,1,41,116704.25
0,6,2,53,97614.87
0,4,2,38,186884.04
0,10,2,25,131501.72
0,1,2,38,24302.95
1,1,1,48,110510.28
1,6,2,44,108488.33
0,4,1,36,197015.2
0,8,1,40,27689.77
1,7,3,45,9217.55
0,2,2,35,15068.18
0,7,2,28,2153838
0,5,2,38,4400.32
0,9,1,39,182025.95
0,1,1,32,122763.95
0,4,2,42,38152.01
0,3,1,33,63163.99
0,9,2,45,73418.29
1,6,1,60,17978.68
1,4,3,43,115136.51
0,6,1,36,149575.59
1,4,1,45,60917.24
0,7,1,65,142548.33
0,7,2,25,157878.67
0,0,1,38,12796.43
0,2,2,42,18657.77
0,3,1,74,134589.58
0,8,1,43,10350.74
0,8,1,37,66013.27
0,2,2,32,1463832
0,9,1,42,74077.91
1,3,3,51,77294.56
1,8,2,35,54359.02
0,5,1,32,156124.93
0,8,2,35,94820.85
0,6,1,40,155155.25
1,2,1,40,128702.1
0,2,1,25,22745.5
1,1,2,40,71865.31
0,7,2,36,84294.82
0,7,1,48,149139.13
0,5,2,28,185489.11
1,4,1,58,176407.15
1,9,1,45,92027.69
0,6,1,33,43932.54
1,1,1,46,115789.25
0,10,1,31,125777.28
0,7,2,25,18461.9
0,6,2,36,79633.38
0,6,1,53,121542.29
0,4,1,32,94739.2
0,1,1,27,93302.29
0,10,1,35,193793.78
0,6,1,47,74835.65
1,6,1,39,56999.9
0,3,1,45,57236.44
0,3,2,35,81483.64
0,9,2,45,26752.56
0,5,2,44,9200.54
1,1,1,61,22447.85
1,5,3,51,189122.89
0,1,1,19,16161.82
0,9,1,34,68600.36
0,1,2,36,447.73
0,3,1,35,15650.73
0,5,1,38,149599.62
0,8,2,61,90304.01
0,7,1,24,115676.38
0,6,1,39,38812.67
0,9,2,41,34338.21
0,8,2,42,823.36
1,1,1,36,135482.26
0,9,3,37,10656.89
0,3,2,38,116467.35
1,8,1,52,96823.32
0,5,1,44,171096.2
0,4,1,37,79881.39
0,10,1,37,157862.82
0,1,1,35,127951.81
0,8,2,31,191074.11
1,6,1,46,157333.69
0,8,1,29,133457.52
0,8,1,36,130789.6
0,5,2,25,128373.88
1,4,1,39,194273.2
1,5,1,38,5684.17
0,4,1,67,131043.2
1,3,1,48,21228.34
0,8,2,48,43250.3
0,8,1,33,909181
0,9,1,66,189271.9
0,0,1,39,102284.2
1,2,2,42,156774.94
0,4,1,44,69865.49
0,0,2,43,85523.24
0,8,2,67,51219.8
0,8,1,27,7222.92
0,6,1,37,23971.33
0,1,1,31,132173.31
0,4,1,35,113639.64
0,7,1,32,39768.59
1,4,3,63,108732.96
1,4,1,43,117349.19
0,5,1,42,78004.5
0,6,1,34,152417.79
0,9,2,34,26057.08
0,3,1,37,79972.09
0,9,2,70,107125.79
0,10,1,48,47679.14
0,3,2,25,134509.47
0,5,2,43,153265.31
0,7,2,38,179883.04
0,5,2,34,138882.98
0,8,1,36,9855.81
1,8,1,43,67046.83
0,4,2,38,56388.63
0,8,1,48,77764.37
0,7,2,46,130590.35
0,0,1,27,151912.49
0,0,2,44,151083.8
0,7,2,32,777.37
1,6,1,35,69454.24
0,1,2,25,11723.57
0,9,2,31,91565.25
0,1,1,36,79616.37
1,0,1,34,102299.81
0,7,2,31,104533.51
1,3,1,49,140765.57
0,5,2,37,66214.13
0,2,2,35,139816.1
0,3,2,42,140139.28
0,7,1,28,102297.15
0,9,2,43,145765.83
0,9,3,29,83912.24
0,3,2,44,78439.73
0,7,1,62,6776.92
0,4,2,28,9903.42
0,1,1,38,91561.91
0,8,2,42,776904
0,10,2,43,116111.51
0,1,2,39,184023.54
1,3,2,42,67124.48
0,7,2,26,50070.59
1,5,3,52,53793.1
0,6,2,33,45261.47
0,7,1,42,36721.4
1,6,1,45,130009.85
0,0,1,71,175380.77
1,10,1,40,127847.25
0,3,1,35,138231.7
0,4,2,29,48673.18
0,4,2,24,70668.77
0,3,2,43,199505.53
1,5,1,37,169583.18
0,7,2,40,49063.42
0,7,1,41,63337.19
1,5,1,45,60083.11
0,1,1,31,48606.71
1,6,1,49,165580.93
0,6,2,32,194010.12
0,1,2,48,69263.1
0,3,2,32,88698.83
0,4,1,25,63030.97
0,4,2,32,59668.81
0,6,2,33,184230.23
0,0,1,35,64050.19
0,9,2,34,81853.98
0,10,1,53,154642.91
0,1,1,39,145679.6
0,3,2,22,30781.77
0,4,2,40,81622.52
0,1,2,29,196474.35
0,3,2,46,176276.1
0,0,1,30,35113.08
0,2,1,30,64299.82
0,1,2,24,180969.55
0,1,1,30,138176.78
0,3,1,72,86733.61
0,3,1,67,7418.92
0,5,2,30,166376.54
1,7,1,39,140881.2
0,1,2,35,935054
0,4,2,38,110472.12
0,6,2,34,86460.28
1,1,1,42,16500.66
1,4,1,48,114020.06
0,5,1,25,131660.31
1,3,1,40,52449.62
0,4,1,30,161465.31
0,2,1,49,20018.79
0,3,1,38,176318.27
0,6,1,50,50488.91
0,7,1,22,30379.6
0,3,2,74,161326.73
0,3,2,33,45348.08
1,1,1,47,180251.68
0,8,2,33,34925.56
0,7,1,38,126555.74
0,8,1,48,187921.3
0,4,2,38,136390.88
1,9,1,38,78566.64
0,5,1,34,166038.27
0,4,2,20,140385.33
1,4,2,36,38629.3
1,10,1,52,24998.75
0,4,2,26,128815.33
1,6,1,57,19376.56
1,7,1,40,31904.31
1,5,1,47,173179.79
0,8,1,52,22485.64
0,6,2,23,196668.51
0,6,2,37,136506.86
0,7,2,31,36278.89
0,6,2,32,163254.39
